dt,currency,rate_to_rub,nominal
2016-02-11,EUR,89.2213,1
2016-02-11,GBP,114.6499,1
2016-02-11,RUB,1,1
2016-02-11,USD,79.0689,1
2016-02-12,EUR,89.3439,1
2016-02-12,GBP,114.5023,1
2016-02-12,RUB,1,1
2016-02-12,USD,79.1144,1
2016-02-13,EUR,89.8454,1
2016-02-13,GBP,115.0692,1
2016-02-13,RUB,1,1
2016-02-13,USD,79.4951,1
2016-02-14,EUR,89.8454,1
2016-02-14,GBP,115.0692,1
2016-02-14,RUB,1,1
2016-02-14,USD,79.4951,1
2016-02-15,EUR,89.8454,1
2016-02-15,GBP,115.0692,1
2016-02-15,RUB,1,1
2016-02-15,USD,79.4951,1
2016-02-16,EUR,87.1905,1
2016-02-16,GBP,112.7876,1
2016-02-16,RUB,1,1
2016-02-16,USD,77.7792,1
2016-02-17,EUR,85.0894,1
2016-02-17,GBP,110.3036,1
2016-02-17,RUB,1,1
2016-02-17,USD,76.245,1
2016-02-18,EUR,86.9588,1
2016-02-18,GBP,111.0768,1
2016-02-18,RUB,1,1
2016-02-18,USD,77.8503,1
2016-02-19,EUR,84.0521,1
2016-02-19,GBP,107.791,1
2016-02-19,RUB,1,1
2016-02-19,USD,75.4575,1
2016-02-20,EUR,84.9187,1
2016-02-20,GBP,109.3633,1
2016-02-20,RUB,1,1
2016-02-20,USD,76.3657,1
2016-02-21,EUR,85.8563,1
2016-02-21,GBP,111.1249,1
2016-02-21,RUB,1,1
2016-02-21,USD,77.1326,1
2016-02-22,EUR,85.8563,1
2016-02-22,GBP,111.1249,1
2016-02-22,RUB,1,1
2016-02-22,USD,77.1326,1
2016-02-23,EUR,85.8563,1
2016-02-23,GBP,111.1249,1
2016-02-23,RUB,1,1
2016-02-23,USD,77.1326,1
2016-02-24,EUR,85.8563,1
2016-02-24,GBP,111.1249,1
2016-02-24,RUB,1,1
2016-02-24,USD,77.1326,1
2016-02-25,EUR,84.0779,1
2016-02-25,GBP,106.843,1
2016-02-25,RUB,1,1
2016-02-25,USD,76.3928,1
2016-02-26,EUR,84.2155,1
2016-02-26,GBP,106.5757,1
2016-02-26,RUB,1,1
2016-02-26,USD,76.3929,1
2016-02-27,EUR,82.9748,1
2016-02-27,GBP,105.0663,1
2016-02-27,RUB,1,1
2016-02-27,USD,75.0903,1
2016-02-28,EUR,82.9748,1
2016-02-28,GBP,105.0663,1
2016-02-28,RUB,1,1
2016-02-28,USD,75.0903,1
2016-02-29,EUR,82.9748,1
2016-02-29,GBP,105.0663,1
2016-02-29,RUB,1,1
2016-02-29,USD,75.0903,1
2016-03-01,EUR,83.1023,1
2016-03-01,GBP,105.2876,1
2016-03-01,RUB,1,1
2016-03-01,USD,75.8994,1
2016-03-02,EUR,80.5333,1
2016-03-02,GBP,103.3344,1
2016-03-02,RUB,1,1
2016-03-02,USD,74.0536,1
2016-03-03,EUR,79.9721,1
2016-03-03,GBP,102.7813,1
2016-03-03,RUB,1,1
2016-03-03,USD,73.6256,1
2016-03-04,EUR,80.21,1
2016-03-04,GBP,103.8559,1
2016-03-04,RUB,1,1
2016-03-04,USD,73.8242,1
2016-03-05,EUR,80.1161,1
2016-03-05,GBP,103.4402,1
2016-03-05,RUB,1,1
2016-03-05,USD,73.1854,1
2016-03-06,EUR,80.1161,1
2016-03-06,GBP,103.4402,1
2016-03-06,RUB,1,1
2016-03-06,USD,73.1854,1
2016-03-07,EUR,80.1161,1
2016-03-07,GBP,103.4402,1
2016-03-07,RUB,1,1
2016-03-07,USD,73.1854,1
2016-03-08,EUR,80.1161,1
2016-03-08,GBP,103.4402,1
2016-03-08,RUB,1,1
2016-03-08,USD,73.1854,1
2016-03-09,EUR,80.1161,1
2016-03-09,GBP,103.4402,1
2016-03-09,RUB,1,1
2016-03-09,USD,73.1854,1
2016-03-10,EUR,79.4488,1
2016-03-10,GBP,102.6602,1
2016-03-10,RUB,1,1
2016-03-10,USD,72.3775,1
2016-03-11,EUR,77.9817,1
2016-03-11,GBP,101.0869,1
2016-03-11,RUB,1,1
2016-03-11,USD,71.0928,1
2016-03-12,EUR,78.4131,1
2016-03-12,GBP,100.2855,1
2016-03-12,RUB,1,1
2016-03-12,USD,70.3067,1
2016-03-13,EUR,78.4131,1
2016-03-13,GBP,100.2855,1
2016-03-13,RUB,1,1
2016-03-13,USD,70.3067,1
2016-03-14,EUR,78.4131,1
2016-03-14,GBP,100.2855,1
2016-03-14,RUB,1,1
2016-03-14,USD,70.3067,1
2016-03-15,EUR,78.1798,1
2016-03-15,GBP,100.6783,1
2016-03-15,RUB,1,1
2016-03-15,USD,70.1542,1
2016-03-16,EUR,78.3285,1
2016-03-16,GBP,100.3372,1
2016-03-16,RUB,1,1
2016-03-16,USD,70.5408,1
2016-03-17,EUR,78.7532,1
2016-03-17,GBP,100.21,1
2016-03-17,RUB,1,1
2016-03-17,USD,71.0256,1
2016-03-18,EUR,77.1572,1
2016-03-18,GBP,97.9308,1
2016-03-18,RUB,1,1
2016-03-18,USD,68.5598,1
2016-03-19,EUR,77.1992,1
2016-03-19,GBP,98.8212,1
2016-03-19,RUB,1,1
2016-03-19,USD,68.4026,1
2016-03-20,EUR,77.1992,1
2016-03-20,GBP,98.8212,1
2016-03-20,RUB,1,1
2016-03-20,USD,68.4026,1
2016-03-21,EUR,77.1992,1
2016-03-21,GBP,98.8212,1
2016-03-21,RUB,1,1
2016-03-21,USD,68.4026,1
2016-03-22,EUR,77.4647,1
2016-03-22,GBP,98.9881,1
2016-03-22,RUB,1,1
2016-03-22,USD,68.8086,1
2016-03-23,EUR,76.14,1
2016-03-23,GBP,96.9406,1
2016-03-23,RUB,1,1
2016-03-23,USD,67.7764,1
2016-03-24,EUR,75.6902,1
2016-03-24,GBP,95.9419,1
2016-03-24,RUB,1,1
2016-03-24,USD,67.6409,1
2016-03-25,EUR,76.929,1
2016-03-25,GBP,97.0229,1
2016-03-25,RUB,1,1
2016-03-25,USD,68.9328,1
2016-03-26,EUR,76.4004,1
2016-03-26,GBP,96.6912,1
2016-03-26,RUB,1,1
2016-03-26,USD,68.4346,1
2016-03-27,EUR,76.4004,1
2016-03-27,GBP,96.6912,1
2016-03-27,RUB,1,1
2016-03-27,USD,68.4346,1
2016-03-28,EUR,76.4004,1
2016-03-28,GBP,96.6912,1
2016-03-28,RUB,1,1
2016-03-28,USD,68.4346,1
2016-03-29,EUR,75.6975,1
2016-03-29,GBP,96.0588,1
2016-03-29,RUB,1,1
2016-03-29,USD,67.7807,1
2016-03-30,EUR,76.8611,1
2016-03-30,GBP,97.8726,1
2016-03-30,RUB,1,1
2016-03-30,USD,68.7549,1
2016-03-31,EUR,76.5386,1
2016-03-31,GBP,97.5442,1
2016-03-31,RUB,1,1
2016-03-31,USD,67.6076,1
2016-04-01,EUR,76.9207,1
2016-04-01,GBP,97.4469,1
2016-04-01,RUB,1,1
2016-04-01,USD,67.8552,1
2016-04-02,EUR,76.4266,1
2016-04-02,GBP,96.4145,1
2016-04-02,RUB,1,1
2016-04-02,USD,67.141,1
2016-04-03,EUR,76.4266,1
2016-04-03,GBP,96.4145,1
2016-04-03,RUB,1,1
2016-04-03,USD,67.141,1
2016-04-04,EUR,76.4266,1
2016-04-04,GBP,96.4145,1
2016-04-04,RUB,1,1
2016-04-04,USD,67.141,1
2016-04-05,EUR,78.1662,1
2016-04-05,GBP,97.6288,1
2016-04-05,RUB,1,1
2016-04-05,USD,68.6753,1
2016-04-06,EUR,78.2798,1
2016-04-06,GBP,97.9617,1
2016-04-06,RUB,1,1
2016-04-06,USD,68.8901,1
2016-04-07,EUR,77.813,1
2016-04-07,GBP,96.6701,1
2016-04-07,RUB,1,1
2016-04-07,USD,68.5215,1
2016-04-08,EUR,77.3688,1
2016-04-08,GBP,95.4229,1
2016-04-08,RUB,1,1
2016-04-08,USD,67.796,1
